Band-gap,Formation_energy,ICSD_id,Name,of_Atoms,Prototype,Spacegroup,Stability,Volume
0,0.730957772,33665,CsIO3,5,CaTiO3,Pm-3m,1.970558943,91.9981
2.548,-2.91635289,28617,NaTaO3,5,CaTiO3,Pm-3m,0.015168529,61.5701
1.532,-1.118824253,161481,CsPbI3,5,CaTiO3,Pm-3m,0.03100254,257.498
1.047,-2.294343562,158759,ScBiO3,5,CaTiO3,Pm-3m,0.346365063,66.2214
0,-0.809386125,44418,HoBRh3,5,CaTiO3,Pm-3m,0,73.9152
0,-1.202539823,56472,CsAuCl3,5,CaTiO3,Pm-3m,0.069879192,138.35
0,-0.031750732,150829,Mn3ZnC,5,CaTiO3,Pm-3m,0.042287786,57.9376
0.801,-2.216623554,15168,CsHgF3,5,CaTiO3,Pm-3m,0.001579836,93.7991
0,-1.70404897,65466,BaIrO3,5,CaTiO3,Pm-3m,0.148362336,66.5322
0.759,-2.183165258,15169,RbHgF3,5,CaTiO3,Pm-3m,0,89.7683
0,-2.848741721,108826,SrVO3,5,CaTiO3,Pm-3m,0.050806935,57.3607
0,-0.834625571,44438,LuBRh3,5,CaTiO3,Pm-3m,0,72.5744
3.615,-3.553369154,28629,LaAlO3,5,,R-3m,0.007793395,53.9875
3.123,-3.482952297,35550,NdAlO3,5,AlLaO3,R-3m,0.029636708,52.3232
0,-0.647996993,44423,ScBIr3,5,CaTiO3,Pm-3m,0.068007979,71.3392
2.245,-1.679973267,67319,Na3ClO,5,CaTiO3,Pm-3m,0.003815645,90.4201
0,-0.70167875,44430,LaBRh3,5,CaTiO3,Pm-3m,0,78.5558
0,-0.608329078,42925,Ti3AlC,5,CaTiO3,Pm-3m,0,72.9164
2.55,-2.914818712,28606,NaTaO3,5,NaNbO3(mP5),Cmmm,0.016702707,61.3711
4.663,-1.842621497,67265,Li3BrO,5,CaTiO3,Pm-3m,0.038275995,62.5378
1.848,-3.078630412,61315,BaPaO3,5,CaTiO3,Pm-3m,0.073886687,92.4822
3.03,-3.479002213,35549,PrAlO3,5,AlLaO3,R-3m,0.020574748,52.9995
0,-0.119026357,153274,Fe3RhN,5,CaTiO3,Pm-3m,0.00390066,56.4059
1.446,-2.818575329,37254,KMnF3,5,CaTiO3,Pm-3m,0.00188383,70.8662
0.451,-2.38543059,37255,KNiF3,5,CaTiO3,Pm-3m,0.001885273,62.7276
2.362,-2.918735763,39673,KTaO3,5,CaTiO3,Pm-3m,0.002115724,63.918
1.181,-1.487152196,33920,K3BrO,5,CaTiO3,Pm-3m,0.001104486,142.212
1.881,-3.290399716,31865,CaTiO3,5,CaTiO3,Pm-3m,0.076917543,57.1581
0,-3.012464574,42004,SrNbO3,5,CaTiO3,Pm-3m,0.009130824,66.5906
0,-0.636299637,44417,HoBPd3,5,CaTiO3,Pm-3m,0.14253641,79.7707
0.693,-2.148025255,15170,KHgF3,5,GdFeO3,Cmmm,0.069179848,87.4378
0,-2.529932255,108903,SrCrO3,5,CaTiO3,Pm-3m,0.080892147,56.6544
0,-0.319454484,249592,SrMgIn3,5,,I-4m2,0.002878547,140.849
0,-0.689026916,411448,Ca3TlN,5,CaTiO3,Pm-3m,0.018469855,120.092
2.718,-2.799351929,161702,HfPbO3,5,CaTiO3,Pm-3m,0.037397873,70.1527
0,-0.812426715,72942,Ca3AuN,5,CaTiO3,Pm-3m,0.021633123,112.085
2.206,-3.286686996,73628,BaTiO3,5,FeBiO3,R3m,0.000861368,64.7656
3.713,-3.553427192,35551,LaAlO3,5,AlLaO3,R-3m,0.007735357,53.9949
2.997,-3.110865556,99548,RbUO3,5,CaTiO3,Pm-3m,0.003119442,82.7607
0,-0.464505247,42930,Ti3TlC,5,CaTiO3,Pm-3m,0.004368438,77.0196
0,-0.827505164,42931,Ti3TlN,5,CaTiO3,Pm-3m,0.03498698,74.1873
1.81,-3.081234781,41061,LaCrO3,5,CaTiO3,Pm-3m,0.086857082,58.917
0,-0.657692619,44565,TbBRh3,5,CaTiO3,Pm-3m,0,74.5908
0,-0.495816236,42923,Y3TlC,5,CaTiO3,Pm-3m,0,119.552
0,-0.759621925,44561,ScBRh3,5,CaTiO3,Pm-3m,0,70.1743
0,-0.580092326,44570,YbBRh3,5,CaTiO3,Pm-3m,0.01296298,72.9489
0,-2.959336588,28928,NdVO3,5,CaTiO3,Pm-3m,0.23663128,58.8639
1.535,-1.952043561,28950,ZnAgF3,5,CaTiO3,Pm-3m,0.05829878,60.8214
1.727,-2.692770597,9532,KNbO3,5,PbTiO3,P4mm,0.00411495,65.6972
0,-0.698247943,44464,NdBRh3,5,CaTiO3,Pm-3m,0,77.2592
0,0.00845472,76763,ZnFe3C,5,CaTiO3,Pm-3m,0.015931127,53.6158
0,-1.747232393,181084,Ca3SnO,5,CaTiO3,Pm-3m,0.000218678,112.063
2.996,-3.137269719,44521,KUO3,5,CaTiO3,Pm-3m,0.002524292,81.2084
0.24,-0.771227977,75499,Rb3AuO,5,CaTiO3,Pm-3m,0.011782656,169.28
0,-2.982087254,28926,CeVO3,5,CaTiO3,Pm-3m,0.176911704,60.0128
0,-2.972488408,28927,PrVO3,5,CaTiO3,Pm-3m,0.207514027,59.3462
7.853,-3.535454168,28949,KMgF3,5,CaTiO3,Pm-3m,0,60.7486
0,-0.650322379,44437,LuBPd3,5,CaTiO3,Pm-3m,0.107689458,78.3101
0,-3.413560406,28908,LaTiO3,5,CaTiO3,Pm-3m,0.061410506,60.8028
0,-0.66139518,44547,YbBPd3,5,CaTiO3,Pm-3m,0.109528243,78.1942
0,-0.738089184,44563,SmBRh3,5,CaTiO3,Pm-3m,0,76.0996
1.617,-2.814561088,43722,RbMnF3,5,CaTiO3,Pm-3m,0,73.5969
1.619,-2.991961387,28931,CeCrO3,5,CaTiO3,Pm-3m,0.090225524,58.9507
0,-2.58380822,43799,BaMoO3,5,CaTiO3,Pm-3m,0.013064224,66.4959
0,-0.632647953,93047,EuH3Pd,5,CaTiO3,Pm-3m,0,52.1638
0,-1.177269025,158758,InBiO3,5,CaTiO3,Pm-3m,0.481769521,71.1431
0,-0.560455185,44463,NdBPd3,5,CaTiO3,Pm-3m,0.12899109,83.9253
0,-3.081248561,28925,LaVO3,5,CaTiO3,Pm-3m,0.166887991,59.9724
0,-0.779371317,44568,YBRh3,5,CaTiO3,Pm-3m,0,74.5422
1.599,-1.989461443,55649,NbAgO3,5,CaTiO3,Pm-3m,0.070883467,63.4114
1.794,-2.976481824,28933,NdCrO3,5,CaTiO3,Pm-3m,0.145239053,57.8717
0,-0.474064239,171478,CaNiH3,5,CaTiO3,Pm-3m,0,42.9338
0,-0.404847015,44421,Sc3InB,5,CaTiO3,Pm-3m,0.084651684,102.593
1.572,-2.493024052,153406,TiPbO3,5,CaTiO3,Pm-3m,0.023612798,61.6535
1.754,-2.950805983,28934,SmCrO3,5,CaTiO3,Pm-3m,0.200139754,56.9287
3.585,-3.554412584,153831,LaAlO3,5,CaTiO3,Pm-3m,0.006749965,54.1524
0,-0.672681388,44548,PrBRh3,5,CaTiO3,Pm-3m,0,78.0092
0,-0.518297837,76814,DyRh3C,5,CaTiO3,Pm-3m,0,72.9423
1.906,-2.986446369,28932,PrCrO3,5,CaTiO3,Pm-3m,0.117562768,58.3364
0,-0.331466322,76825,EuRh3C,5,CaTiO3,Pm-3m,2.41E-05,73.1347
2.714,-2.759789749,30739,CsPbF3,5,CaTiO3,Pm-3m,0.00509739,107.997
0,-2.551412692,15424,KFeF3,5,CaTiO3,Pm-3m,0.003005732,66.9276
0,-0.491508865,44545,TbBPd3,5,CaTiO3,Pm-3m,0.139163219,80.7783
0,-0.628417826,44585,Sc3SnB,5,CaTiO3,Pm-3m,0.007089319,100.246
0,-0.543529164,44543,PrBPd3,5,CaTiO3,Pm-3m,0.130551354,84.6814
0,-0.587649164,44544,SmBPd3,5,CaTiO3,Pm-3m,0.13126575,82.5099
0,-0.646427024,44546,TmBPd3,5,CaTiO3,Pm-3m,0.146889595,79.0171
0,-2.091870157,28917,BaFeO3,5,FeBiO3,R-3m,0.034918333,62.1939
2.125,-3.264981451,43768,BaPuO3,5,CaTiO3,Pm-3m,0.035403311,86.3452
0,-0.389902148,43848,Dy3AlC,5,CaTiO3,Pm-3m,0,116.174
0,-1.97952144,261370,SrRuO3,5,Cr3AsN,P4/mmm,0.044378976,61.5452
0,-0.558395113,168862,SrGe3Pd,5,BaNiSn3,I4mm,0,105.673
0,0.042715929,76842,Fe3SnC,5,CaTiO3,Pm-3m,0.065318482,58.7502
0.782,-1.144310328,56968,Ca3AsN,5,CaTiO3,Pm-3m,0.006232694,107.453
0,-0.33491132,43854,Gd3AlC,5,CaTiO3,Pm-3m,0,120.538
2.277,-1.743672907,29072,CsPbCl3,5,CaTiO3,Pm-3m,0.010941585,184.093
1.751,-1.50140142,29073,CsPbBr3,5,CaTiO3,Pm-3m,0.016068616,210.268
0,-0.562816988,44428,LaBPd3,5,CaTiO3,Pm-3m,0.150635517,85.784
0,-1.495166591,181090,Ba3SnO,5,CaTiO3,Pm-3m,0,165.847
0,-1.202412387,27839,CsAuCl3,5,CaTiO3,Pm-3m,0.070006628,138.236
4.593,-0.613296186,76434,TlClO3,5,FeBiO3,R3m,0.037832381,83.2569
0.49,-1.08078613,106320,Ca3BiN,5,CaTiO3,Pm-3m,0,117.286
0,-2.288781919,109076,SrTcO3,5,CaTiO3,Pm-3m,0.005862835,61.7475
0,-1.177581743,24479,CsHgBr3,5,CaTiO3,Pm-3m,0.036755978,179.795
0,0.031109316,43866,Tb3AlC,5,CaTiO3,Pm-3m,0.129625587,118.287
0,-2.09003774,73167,KPdF3,5,CaTiO3,Pm-3m,0.004574572,74.3148
0,-0.837034612,95049,CeBPt3,5,CePt3B,P4mm,0,85.0956
0,-1.203093453,37454,CsAuCl3,5,Cs2Au2Cl6,P4/mmm,0.069325562,139.055
0.721,-1.450563544,4071,CsSnBr3,5,CaTiO3,Pm-3m,0.004596086,199.897
0,-0.413719531,43856,Ho3AlC,5,CaTiO3,Pm-3m,0,114.175
0,-0.179281487,44659,Mn3IrN,5,CaTiO3,Pm-3m,0.114529305,58.856
0.881,-1.124111153,106350,Ca3PN,5,CaTiO3,Pm-3m,0,104.243
0,-2.323312648,27689,KCuF3,5,KCuF3(tP5),P4/mmm,0.008485068,62.2139
0,-0.433737672,43849,Er3AlC,5,CaTiO3,Pm-3m,0,112.228
0,-0.489383971,76997,GdRh3C,5,CaTiO3,Pm-3m,0,73.7384
0,-0.423986207,43869,Y3AlC,5,CaTiO3,Pm-3m,0,116.908
1.689,-3.279802678,27970,BaTiO3,5,CaTiO3,Pm-3m,0.007745686,64.076
0.721,-0.885214196,40216,RbGeI3,5,CaTiO3,Pm-3m,0.028204345,211.014
6.549,-3.470999423,171813,NaMgF3,5,CaTiO3,Pm-3m,0.040994955,56.0763
0,-0.260760362,43865,Sm3AlC,5,CaTiO3,Pm-3m,0,125.964
0,-2.095234245,29096,BaFeO3,5,CaTiO3,Pm-3m,0.031554245,62.7725
