Formation_energy,ICSD_id,of_Atoms,Volume,Stability
2.331489054,106306,5,126.329,2.404375232
2.001990858,77237,5,184.313,2.116764212
1.300218767,76400,5,196.035,2.097649778
1.112333627,76398,5,195.115,2.089477803
1.651043821,76822,5,177.384,2.0730729
1.971962854,77042,5,175.787,2.052152936
1.821748178,77403,5,178.073,2.015154168
1.62989846,76996,5,206.609,2.008532802
1.451494047,77034,5,173.003,2.003148689
1.466186471,76823,5,170.656,1.999388506
-0.489732622,33667,5,65.1951,1.991496361
1.489175397,77404,5,168.225,1.9834924
0.730957772,33665,5,91.9981,1.970558943
1.588449891,77032,5,170.905,1.956682026
1.622371284,76824,5,171.407,1.947578243
1.615981836,77035,5,173.786,1.94639153
1.595427135,76819,5,168.687,1.943129806
1.610498962,76815,5,176.322,1.926970654
1.417223733,76998,5,180.952,1.905729053
1.403305281,77402,5,188.094,1.87131342
1.602614837,76999,5,181.843,1.847518551
1.39368444,77227,5,195.923,1.839577672
1.554260004,77039,5,197.224,1.823785854
1.389308143,77302,5,200.894,1.821041557
1.594737593,77228,5,196.799,1.818629894
1.591210269,77303,5,201.547,1.813218309
1.385407437,76776,5,206.721,1.801572588
1.586704671,76778,5,207.385,1.797934155
1.324288229,77049,5,210.443,1.790379061
0.908138937,103821,5,164.852,1.742514053
1.451291863,43868,5,147.503,1.721997418
0.844789371,106351,5,200.254,1.65184928
1.161485401,77405,5,197.967,1.625923527
0.747511538,106353,5,194.562,1.625228459
1.179059196,76843,5,145.401,1.61473119
1.179798888,76812,5,148.058,1.601544083
1.325471614,77558,5,194.753,1.598684008
1.179135894,76818,5,143.96,1.574877069
1.184810188,76993,5,141.913,1.535919356
-1.347209012,76049,5,87.9528,1.52764058
-1.329062466,76048,5,90.1051,1.524070511
-1.386854688,76050,5,86.3871,1.50565222
-1.041505769,27777,5,75.7325,1.504360141
1.201553933,76849,5,164.411,1.49503147
1.206361413,76851,5,168.459,1.493973032
0.538812364,106352,5,189.072,1.489281871
-1.486752409,76047,5,85.2022,1.447934356
-0.11773813,33664,5,76.0536,1.095698493
0.204595307,43864,5,73.1757,0.767222587
0.343655044,617925,5,74.0753,0.706399205
0.314248763,108179,5,79.1226,0.641432483
0.114116971,23977,5,121.09,0.62407431
0.243104783,77040,5,77.0533,0.539534354
0.097078591,618636,5,76.1967,0.528543265
-0.430176099,42929,5,99.8436,0.518847484
-1.177269025,158758,5,71.1431,0.481769521
-0.029367581,23978,5,93.8716,0.480863969
-0.675233009,416749,10,160.491,0.473441612
0.382531911,77234,5,82.0305,0.455299653
0.190055925,108178,5,79.305,0.429777005
-1.170087344,162264,5,108.848,0.398977592
0.048637139,39861,5,76.6098,0.384815771
0.300639628,108183,5,72.3719,0.364968302
-2.294343562,158759,5,66.2214,0.346365063
0.084151014,77001,5,55.3058,0.324464103
0.050755554,56398,5,122.885,0.318154969
-2.218604777,27118,5,65.91,0.313046974
-0.00847689,56401,5,129.153,0.278235977
-2.669699259,29109,5,94.6376,0.263924267
0.047350109,66356,5,181.494,0.263739977
-2.818837135,172737,10,80.6352,0.258296827
-1.000745413,6179,5,49.2319,0.256023056
-0.200085118,108128,5,78.0932,0.255460491
-3.043084202,240446,20,178.764,0.249017374
-0.590331865,76967,5,74.5988,0.240700618
-3.052664917,40658,5,45.5296,0.239436659
-1.007229838,20012,10,110.423,0.239102263
-3.053929521,240414,10,90.8305,0.238172055
-3.054429462,240422,10,90.8285,0.237672114
-0.470968483,602477,10,268.614,0.237519792
-2.959336588,28928,5,58.8639,0.23663128
-1.969199547,35440,10,248.921,0.230618992
-1.96931708,99664,10,249.025,0.230501459
-2.918856964,22310,5,78.4985,0.227490263
-1.896787138,622073,10,248.489,0.225992022
-1.572696098,157550,5,57.3877,0.225751168
-1.905562564,2062,10,242.195,0.2200212
-1.356030888,20372,5,59.7014,0.213034048
-1.356419854,20288,5,59.7496,0.212645082
-1.691753987,99665,10,281.634,0.21047674
-2.972488408,28927,5,59.3462,0.207514027
-0.176620372,107021,5,151.583,0.202301276
-2.344281877,29149,5,65.2197,0.201584033
-2.950805983,28934,5,56.9287,0.200139754
-3.319096126,29003,5,70.0928,0.197948578
-1.037332707,28545,5,71.9802,0.195955257
-1.640962832,99666,10,281.22,0.188383341
-1.64210789,99667,10,277.44,0.185051781
-0.020243709,77216,5,67.0238,0.183055824
-1.64176828,99668,10,275.098,0.181501099
-2.982087254,28926,5,60.0128,0.176911704
-2.728411414,60611,5,62.7334,0.168686437
-3.343473623,156158,10,106.176,0.168520755
-2.765849446,79627,10,186.122,0.16777408
-3.081248561,28925,5,59.9724,0.166887991
-0.06676548,77392,5,66.7782,0.1665419
-1.284606374,72343,10,383.263,0.165812018
-2.795220492,99478,5,84.552,0.165649053
-2.309373394,20556,20,243.252,0.165604449
-2.800208199,163754,10,182.602,0.163707061
-2.75019053,411805,10,117.222,0.161564767
-2.772410752,88591,10,185.883,0.161212774
-2.164891874,200088,10,151.213,0.160003916
-0.301881896,56408,5,151.668,0.158841215
-2.805417378,163753,10,182.292,0.158497882
-0.562816988,44428,5,85.784,0.150635517
-1.722262313,160196,5,58.3902,0.149252009
-1.70404897,65466,5,66.5322,0.148362336
-0.646427024,44546,5,79.0171,0.146889595
-1.359940183,77661,5,66.1675,0.146182591
-2.976481824,28933,5,57.8717,0.145239053
-0.641863584,44233,5,79.4524,0.14412003
-0.636299637,44417,5,79.7707,0.14253641
-0.843244838,93507,20,209.626,0.142205419
-0.630322591,44210,5,80.3332,0.14085068
-2.821622084,59596,10,167.363,0.139247461
-0.491508865,44545,5,80.7783,0.139163219
-2.825164171,2752,10,167.638,0.135705374
-0.463557336,16252,10,197.175,0.132977764
-0.587649164,44544,5,82.5099,0.13126575
-0.543529164,44543,5,84.6814,0.130551354
0.031109316,43866,5,118.287,0.129625587
-0.560455185,44463,5,83.9253,0.12899109
-2.262605675,157549,5,52.8829,0.125679825
-2.253640308,15092,10,225.468,0.122812655
-0.069513253,158250,5,35.1161,0.122539306
-2.986446369,28932,5,58.3364,0.117562768
-0.425696379,26638,40,414.755,0.117178973
-2.704682146,4054,20,253.481,0.115777014
-1.814474235,300285,10,356.103,0.115515893
-0.179281487,44659,5,58.856,0.114529305
-2.401230873,91897,10,136.675,0.114489167
-2.062501685,89669,10,112.777,0.114245646
-2.262225894,410392,30,406.194,0.11422707
-2.858755258,29119,5,59.3165,0.110755705
-0.66139518,44547,5,78.1942,0.109528243
-2.493168519,246516,10,97.539,0.109352207
-1.834730094,77142,5,54.0472,0.107755109
-0.650322379,44437,5,78.3101,0.107689458
-0.614215734,44309,5,81.2515,0.107544589
-0.522085044,44153,5,85.7427,0.10476732
-2.339485528,181782,5,52.9591,0.104068688
-3.516639689,29110,5,97.4382,0.103611304
-0.140743414,201004,5,125.01,0.101556824
-2.655622725,29118,5,59.6702,0.099062951
-1.545893899,246351,30,350.397,0.091959409
-2.41638745,28921,5,53.5525,0.091582388
-2.991961387,28931,5,58.9507,0.090225524
-0.198437613,76060,5,58.7113,0.089424916
-3.081234781,41061,5,58.917,0.086857082
-0.404847015,44421,5,102.593,0.084651684
-0.108193556,43846,5,139.856,0.081363464
-2.529932255,108903,5,56.6544,0.080892147
-2.286514842,410391,30,371.273,0.080880824
-3.290399716,31865,5,57.1581,0.076917543
-1.262713637,15523,20,461.739,0.075757198
-1.205243272,35102,45,589.325,0.075577683
-2.63315979,262105,5,72.8054,0.075203387
-3.293247232,31864,5,57.55,0.074070027
-3.078630412,61315,5,92.4822,0.073886687
-2.739352566,27690,5,67.743,0.073784372
-2.739940639,172846,10,135.51,0.073196299
-2.740719154,172844,10,135.704,0.072417784
-3.440158588,156157,10,98.8839,0.07183579
-1.989461443,55649,5,63.4114,0.070883467
-1.933475897,1892,10,314.465,0.070323707
-1.517435678,15537,10,222.91,0.070186165
-1.202412387,27839,5,138.236,0.070006628
-1.202539823,56472,5,138.35,0.069879192
-3.024255735,15882,30,350.973,0.069803342
-1.202721807,417373,5,138.482,0.069697208
-1.203093453,37454,5,139.055,0.069325562
-2.148025255,15170,5,87.4378,0.069179848
-0.647996993,44423,5,71.3392,0.068007979
-1.222837471,38068,45,666.592,0.065598312
-2.402742389,88042,20,203.268,0.065514168
-0.07816705,609880,10,113.453,0.065512561
-2.996219888,280583,30,360.681,0.065343961
0.042715929,76842,5,58.7502,0.065318482
-2.985854128,162199,30,364.566,0.064455707
-2.395836799,162113,20,205.023,0.063804281
-0.246359945,62109,10,159,0.06359826
-1.610259743,10206,10,282.73,0.06358541
-0.188409069,76056,5,56.4248,0.063317421
-2.236205108,73554,10,113.522,0.06288047
-1.301653839,2064,10,269.875,0.062353881
-2.344359103,164934,10,109.952,0.0614861
-3.413560406,28908,5,60.8028,0.061410506
-0.358162368,44586,5,102.629,0.060374485
-2.310442914,24875,20,214.435,0.059666421
-2.85942374,28145,5,67.9679,0.059360728
-2.329149115,171708,10,110.279,0.059136385
-3.443063042,27046,5,71.5999,0.058468785
-1.952043561,28950,5,60.8214,0.05829878
-1.605189093,30993,10,145.432,0.057747187
-2.472697374,280991,20,206.513,0.057083525
-1.617929023,41802,10,285.106,0.05591613
-2.869490813,161926,20,232.919,0.053964934
-2.586931977,171385,20,261.586,0.053776647
-0.152681558,43863,5,135.258,0.052402439
-0.190261988,26450,5,121.156,0.05203825
-2.429666032,62150,20,217.702,0.051562952
-2.443993179,27047,5,67.2039,0.051156913
-1.608071905,171756,20,270.514,0.050966641
-1.330417198,2590,10,323.386,0.050905677
-0.848212068,89432,10,147.162,0.050850021
-2.848741721,108826,5,57.3607,0.050806935
-3.338618331,61316,5,88.2665,0.050595442
-1.531982471,100678,10,95.9398,0.04977662
-0.38241237,158980,10,185.979,0.049207551
-2.9207378,150258,10,120.032,0.048773163
-2.824124132,402039,10,92.9324,0.048636433
-3.711779199,89455,20,298.28,0.04858705
-0.186095932,56395,5,140.322,0.047946007
-2.498269191,18139,60,698.942,0.04638155
-1.977664788,157118,5,61.2863,0.046235628
-0.543859264,44242,5,75.0863,0.045983639
-1.978392526,69360,5,61.379,0.04550789
-0.060306604,77230,5,53.7252,0.044980025
-2.660753695,39624,20,226.786,0.044802873
-0.388469416,158978,10,190.023,0.044539083
-1.97952144,261370,5,61.5452,0.044378976
-2.477413571,31338,20,204.595,0.043860926
-1.707089698,247326,20,238.064,0.04378437
-2.845277915,28146,5,70.5153,0.043551317
-2.50130201,174021,30,339.174,0.043348731
-1.423685434,16834,10,117.728,0.043264359
-0.391714414,158979,10,190.712,0.042832848
-1.781715715,16617,20,230.016,0.042420279
-0.031750732,150829,5,57.9376,0.042287786
-2.310481748,69186,10,110.846,0.04203795
-1.981355313,246019,30,392.709,0.041893021
-3.470999423,171813,5,56.0763,0.040994955
-0.295438809,617527,10,105.696,0.040970551
-1.247525025,16339,10,153.688,0.040910758
-2.665818746,28578,5,62.5784,0.039737822
-2.666317616,28588,5,62.6484,0.039238952
-0.037065497,77153,5,58.7798,0.03918611
-2.667172932,28564,5,62.7795,0.038383636
-1.842621497,67265,5,62.5378,0.038275995
-0.613296186,76434,5,83.2569,0.037832381
-2.799351929,161702,5,70.1527,0.037397873
-0.199040002,71309,20,495.17,0.036990217
-1.177581743,24479,5,179.795,0.036755978
-0.204061001,76062,5,58.1121,0.036359986
-0.46239451,164892,10,211.803,0.036285875
-3.617219923,161594,5,69.013,0.035765775
-2.669802674,247315,20,229.875,0.035753894
-3.617353191,29154,5,68.986,0.035632507
-2.670060268,22065,20,232.41,0.0354963
-3.264981451,43768,5,86.3452,0.035403311
-2.702263875,90743,10,106.795,0.035169301
-0.507866316,35157,5,58.8649,0.035009036
-0.827505164,42931,5,74.1873,0.03498698
-1.534124988,168320,5,65.5143,0.034939948
-2.091870157,28917,5,62.1939,0.034918333
-2.671260275,247316,20,229.959,0.034296293
-0.522221534,76966,5,85.694,0.03405484
-2.671659106,247317,20,230.13,0.033897462
-0.327674251,76774,5,77.4309,0.033283845
-2.704670432,169694,30,322.119,0.032762744
-2.411947075,35218,20,204.794,0.031607141
-2.095234245,29096,5,62.7725,0.031554245
-1.118824253,161481,5,257.498,0.03100254
-2.677711354,39607,5,73.3316,0.030651823
-1.73757102,175,10,129.655,0.030112287
-1.910981087,67671,10,118.005,0.029667522
-3.482952297,35550,5,52.3232,0.029636708
-0.840221673,73804,10,187.698,0.029518842
-0.840286315,74442,10,188.207,0.0294542
-2.379976126,157935,20,227.2,0.028877586
-2.60896425,174205,10,126.045,0.02826371
-0.885214196,40216,5,211.014,0.028204345
-2.609043636,71994,5,63.096,0.028184324
-1.540895811,164223,30,365.974,0.028169126
-2.60909596,174206,10,126.183,0.028132
-2.574619157,79278,10,104.528,0.027901569
-3.685253828,154073,5,81.3914,0.027844478
-0.387372321,158977,10,196.646,0.027387247
-1.952871636,246425,10,119.602,0.027075004
-2.48154611,247225,10,110.876,0.026423728
-2.679152838,23563,10,120.468,0.02640373
-2.589061155,22382,10,103.74,0.02630861
-2.4910945,29117,5,61.373,0.02554235
-0.273569573,76057,5,60.6375,0.025476294
-1.039870813,10283,5,83.6961,0.024926684
-0.63941805,44241,5,80.6631,0.024542551
-0.293190233,25751,10,111.626,0.024485766
-1.932430329,922,10,125.781,0.023645797
-2.493024052,153406,5,61.6535,0.023612798
-1.999680335,84652,20,265.587,0.023567999
-3.478101304,1523,20,273.21,0.023430523
-0.191581791,57528,5,131.699,0.023099172
-2.059652257,152276,5,67.6788,0.023054023
-2.493085545,158390,5,74.6446,0.022634495
-2.048579371,68714,10,167.711,0.022319924
-1.680864744,30971,10,114.29,0.022190211
-0.484671084,168713,30,275.719,0.021686949
-0.812426715,72942,5,112.085,0.021633123
-0.257675556,66513,10,260.958,0.021492416
-3.346389973,162919,10,112.808,0.020927286
-3.479002213,35549,5,52.9995,0.020574748
-0.385574165,165894,5,88.906,0.020482797
-0.366229149,77304,5,76.6237,0.020208687
-0.281918275,245652,10,403.923,0.020078885
-1.411456983,77196,5,165.919,0.019319773
-1.911850195,412071,20,460.233,0.019039416
-2.94022458,73361,10,126.756,0.018994461
-1.671258113,817,30,759.782,0.018561024
-0.689026916,411448,5,120.092,0.018469855
-2.361291627,170703,60,738.328,0.018388984
-2.913875539,16687,20,227.199,0.01764588
-2.023967605,73243,10,105.143,0.016734634
-2.914818712,28606,5,61.3711,0.016702707
-2.914970365,980,20,227.54,0.016551054
-1.265850795,245292,10,137.74,0.016546385
-2.199730069,10474,10,289.981,0.016401675
-1.501100022,109295,5,209.94,0.016370015
-3.232036375,63520,20,239.804,0.016100176
-1.50140142,29073,5,210.268,0.016068616
0.00845472,76763,5,53.6158,0.015931127
-3.637070885,161595,10,135.268,0.015914813
-2.91635289,28617,5,61.5701,0.015168529
-1.312136361,80320,5,175.576,0.01491802
-3.144562024,165721,20,241.142,0.014436934
-2.74369329,23822,20,220.621,0.014128235
-1.819541296,18201,10,231.758,0.013611302
-1.819555729,14175,10,231.837,0.013596869
-2.58380822,43799,5,66.4959,0.013064224
-0.580092326,44570,5,72.9489,0.01296298
-3.640071514,164622,20,267.205,0.012914184
-3.237307127,95578,20,224.142,0.012845065
-3.175515829,55285,10,101.958,0.012683224
-3.261261451,99690,10,125.504,0.012511068
-2.482656214,153532,10,133.89,0.012493878
-0.393759575,88051,5,94.3768,0.012196093
-0.771227977,75499,5,169.28,0.011782656
-3.156444749,91271,10,118.688,0.011647114
-1.743016409,109294,5,183.387,0.011598083
-1.743672907,29072,5,184.093,0.010941585
-2.361976676,23477,20,225.32,0.010789674
-0.788069127,62340,10,230.351,0.010045956
-3.357405805,100015,30,319.477,0.009892005
-3.277744409,55221,30,390.525,0.009803955
-0.113322505,23586,5,55.42,0.009744825
-3.469558349,245565,5,54.1319,0.009464365
-3.278099803,164386,30,390.686,0.009448561
-3.012464574,42004,5,66.5906,0.009130824
-1.862441962,43457,5,66.3758,0.008868598
-0.608871368,61391,10,210.923,0.0086854
-0.23765233,411344,10,256.852,0.008580814
-2.323312648,27689,5,62.2139,0.008485068
-0.266052648,159173,10,88.3007,0.008428246
-1.225013251,97995,5,84.3458,0.008274713
-2.487337742,153531,10,133.763,0.00781235
-3.553369154,28629,5,53.9875,0.007793395
-1.075168573,69997,5,245.852,0.00775513
-3.279802678,27970,5,64.076,0.007745686
-3.553427192,35551,5,53.9949,0.007735357
-0.396423269,77226,5,75.9412,0.007623308
-2.292050475,109293,5,65.3579,0.007618638
-3.280055766,27965,5,64.1469,0.007492598
-1.157193313,154258,10,415.528,0.007354685
-1.616921394,2552,10,231.929,0.007321451
-0.317618538,77282,5,69.1349,0.007185116
-2.324613752,21110,10,124.632,0.007183964
-0.639924378,98498,5,113.014,0.007157442
-0.628417826,44585,5,100.246,0.007089319
-3.645995787,161597,10,134.645,0.006989911
-3.554412584,153831,5,54.1524,0.006749965
-1.240016742,9508,10,128.402,0.006315359
-1.144310328,56968,5,107.453,0.006232694
-3.646860089,164621,10,136.074,0.006125609
-3.473102677,245564,10,108.34,0.005920037
-0.627099274,80875,10,225.528,0.005894056
-2.288781919,109076,5,61.7475,0.005862835
-2.597033427,201316,5,169.455,0.005834652
-2.325988314,8000,10,124.865,0.005809402
-1.741118804,71010,10,119.009,0.00578755
-2.367058417,2899,20,229.048,0.005707933
-0.504134006,609887,10,121.087,0.005512954
-2.759789749,30739,5,107.997,0.00509739
-0.627911565,61393,10,226.998,0.005081765
-1.507640184,300249,10,272.086,0.005055298
-2.08974017,6047,5,74.2818,0.004872142
-3.556404264,180418,10,107.752,0.004758285
-1.450563544,4071,5,199.897,0.004596086
-2.09003774,73167,5,74.3148,0.004574572
-1.819567234,202862,10,94.3175,0.00456876
-1.917702998,78011,10,128.297,0.004535051
-1.327586729,261371,10,111.702,0.004380413
-0.464505247,42930,5,77.0196,0.004368438
-3.556821058,180416,10,107.875,0.004341491
-2.438427495,27049,5,70.9476,0.004159134
-3.557003681,180415,10,107.863,0.004158868
-2.692770597,9532,5,65.6972,0.00411495
-0.233933923,162260,15,240.775,0.004047403
-3.475042609,166284,10,108.146,0.003980105
-0.94801688,62559,5,222.221,0.003902496
-0.119026357,153274,5,56.4059,0.00390066
-1.679973267,67319,5,90.4201,0.003815645
